id    ,title                                                                                                                 ,title_en                                                                                 ,title_jp                                                                       ,source       ,members ,score  ,format ,episodes ,starting_at               ,airing_day ,studio                               ,official_site                                             ,twitter_username
57478 ,Kuramerukagari                                                                                                        ,                                                                                         ,クラメルカガリ                                                                 ,Original     ,   1031 ,  1031 ,Movie  ,     1.0 ,2024-04-12T00:00:00+00:00 ,           ,Team OneOne                          ,https://www.kurayukaba.jp/                                ,
56553 ,Kurayukaba                                                                                                            ,                                                                                         ,クラユカバ                                                                     ,Original     ,    876 ,   876 ,Movie  ,     1.0 ,2024-04-12T00:00:00+00:00 ,           ,Team OneOne                          ,https://www.kurayukaba.jp/                                ,kurayukaba
57946 ,Himitsu no AiPri                                                                                                      ,                                                                                         ,ひみつのアイプリ                                                               ,Game         ,    773 ,   773 ,TV     ,         ,2024-04-07T00:00:00+00:00 ,Sundays    ,OLM/ Dongwoo A&E                     ,https://aipri.jp/anime/                                   ,PrettySeriesPR
57946 ,Himitsu no AiPri                                                                                                      ,                                                                                         ,ひみつのアイプリ                                                               ,Game         ,    773 ,   773 ,TV     ,         ,2024-04-07T00:00:00+00:00 ,Sundays    ,OLM/ Dongwoo A&E                     ,https://aipri.jp/anime/                                   ,PrettySeriesPR
57614 ,Shadowverse Flame: Arc-hen                                                                                            ,                                                                                         ,シャドウバースＦ アーク編                                                      ,Card game    ,    692 ,   692 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,Saturdays  ,Zexcs                                ,https://anime.shadowverse.jp                              ,shadowverse_anm
57614 ,Shadowverse Flame: Arc-hen                                                                                            ,                                                                                         ,シャドウバースＦ アーク編                                                      ,Card game    ,    692 ,   692 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,Saturdays  ,Zexcs                                ,https://anime.shadowverse.jp                              ,shadowverse_anm
57798 ,Shinkalion: Change the World                                                                                          ,                                                                                         ,ロボ シンカリオン チェンジ ザ ワールド                                         ,Other        ,    589 ,   589 ,TV     ,         ,2024-04-01T00:00:00+00:00 ,           ,Production I.G/ Signal.MD            ,https://www.shinkalion.com/                               ,shinkalion
53534 ,i☆Ris the Movie: Full Energy!!                                                                                        ,                                                                                         ,i☆Ris the Movie -Full Energy!!-                                                ,Original     ,    541 ,   541 ,Movie  ,     1.0 ,2024-05-17T00:00:00+00:00 ,           ,Studio Gokumi                        ,https://iris.dive2ent.com/movie/                          ,iris_official_
57936 ,Rennyuu Order The Animation                                                                                           ,                                                                                         ,恋乳オーダー ～おかわり～ THE ANIMATION                                        ,Manga        ,    337 ,   337 ,OVA    ,     1.0 ,2024-04-26T00:00:00+00:00 ,           ,Studio 1st                           ,https://www.pinkpineapple.co.jp/detail.php?cid=4&did=2457 ,
57464 ,Zhu Zhu Xia Da Dianying: Xingji Xingdong                                                                              ,                                                                                         ,猪猪侠大电影·星际行动                                                          ,Original     ,     63 ,    63 ,Movie  ,     1.0 ,2024-05-01T00:00:00+00:00 ,           ,                                     ,                                                          ,
