id,title,title_en,title_jp,source,members,score,format,episodes,season,year,starting_at,airing_day,studio,official_site,twitter_username
1199,Nintama Rantarou,,忍たま乱太郎,Manga,7603,7.11,TV,,spring,1993.0,1993-04-10T00:00:00+00:00,,Ajia-do,http://www3.nhk.or.jp/anime/nintama/,
34454,Granblue Fantasy CMs,,グランブルーファンタジー CMs,Game,7360,6.39,CM,,,,2013-11-08T00:00:00+00:00,,,http://granbluefantasy.jp/,
48824,Blue Archive PVs,,ブルーアーカイブ,Game,6769,7.19,PV,,,,2021-01-25T00:00:00+00:00,,Yostar Pictures,https://bluearchive.jp/,
51039,Doupo Cangqiong: Nian Fan,Fights Break Sphere 5th Season,斗破苍穹年番,Novel,6615,8.1,ONA,104.0,,,2022-07-31T00:00:00+00:00,,Motion Magic,https://v.qq.com/x/cover/mzc0020027yzd9e/q0043cz9x20.html,
42163,Arknights,Arknights,アークナイツ,Game,6527,7.15,PV,,,,2019-11-19T00:00:00+00:00,,Yostar Pictures,https://www.arknights.jp/,
54758,The iDOLM@STER Shiny Colors,,アイドルマスター シャイニーカラーズ,Game,6386,6.48,TV,12.0,spring,2024.0,2024-04-06T00:00:00+00:00,Saturdays,Polygon Pictures,https://shinycolors-anime.idolmaster-official.jp/,shinyc_official
57519,Boku no Hero Academia: Memories,,僕のヒーローアカデミア Memories,Manga,6148,6.58,TV Special,4.0,,,2024-04-06T00:00:00+00:00,,Bones,https://heroaca.com/,heroaca_anime
29643,6HP (Six Hearts Princess),,6HP(シックスハートプリンセス),Original,6069,6.0,TV Special,,,,2016-12-30T00:00:00+00:00,,Poncotan,,
6149,Chibi Maruko-chan (1995),Little Miss Maruko,ちびまる子ちゃん,Manga,5986,7.32,TV,,winter,1995.0,1995-01-08T00:00:00+00:00,Sundays,Nippon Animation,http://www.nippon-animation.co.jp/na/maruko/,
54859,Rinkai!,,リンカイ!,Mixed media,5935,5.67,TV,12.0,spring,2024.0,2024-04-09T00:00:00+00:00,Tuesdays,TMS Entertainment,https://rinkai-pj.com/,rinkai_pj
50607,Yu☆Gi☆Oh! Go Rush!!,,遊☆戯☆王ゴーラッシュ!!,Card game,5825,5.76,TV,,spring,2022.0,2022-04-03T00:00:00+00:00,Sundays,Bridge,https://www.tv-tokyo.co.jp/anime/yugioh-gorush/,yugioh_anime
55194,Ooi! Tonbo,,オーイ！とんぼ,Manga,5657,6.55,TV,,spring,2024.0,2024-04-06T00:00:00+00:00,Saturdays,OLM,https://tonbo-anime.com/,anime_tonbo
41409,Wushen Zhuzai,The God of War Dominates,武神主宰,Novel,5468,7.38,ONA,496.0,,,2020-03-08T00:00:00+00:00,,Ruo Hong Culture,https://v.qq.com/detail/7/7q544xyrava3vxf.html,
53702,Imouto wa Gal Kawaii,,いもうとはGALかわいい,Light novel,5032,6.86,OVA,,,,2023-02-03T00:00:00+00:00,,New Generation,,
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Uma Musume: Pretty Derby - Beginning of a New Era,ウマ娘 プリティーダービー 新時代の扉,Game,4987,,Movie,1.0,,,2024-05-24T00:00:00+00:00,,CygamesPictures,https://movie-umamusume.jp/,uma_musu_movie
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Uma Musume: Pretty Derby - Beginning of a New Era,ウマ娘 プリティーダービー 新時代の扉,Game,4987,,Movie,1.0,,,2024-05-24T00:00:00+00:00,,CygamesPictures,https://movie-umamusume.jp/,uma_musu_movie
